pdf_file,extracted_answer
Tofacitinib_for_moderately_to_severely_active_ulcerative_colitis.pdf,"1. Yes. Orally administered. Small molecule so reduced chance of immunogenicity compared to monoclonal antibody therapies. Good side-effect profile. For reasons stated above. Yes. See above.

2. Yes, the technology is considered innovative in its potential to make a significant and substantial impact on health-related benefits as it introduces an alternative mode of action and route of administration. It also addresses an unmet need for those who have failed or are intolerant to other biologics."
Immunosuppressive_therapy_for_kidney_transplant_in_children_and_young_people.pdf,NULL
Blinatumomab_for_treating_acute_lymphoblastic_leukaemia_in_remission_with_minimal_residual_disease_activity.pdf,NULL
Atogepant_for_preventing_migraine.pdf,"1. Yes – This technology may be better than the currently NICE approved Gepant for the following reasons:
- Patient adherence to a daily tablet is likely to be better rather than an alternate day tablet.
- The pharmacology (Plasma half-life) of this technology is scientifically more plausible (tablets given daily) than the alternate day Gepant previously approved by NICE which has the same half-life but is still given alternate days."
Cabozantinib_for_previously_treated_advanced_renal_cell_carcinoma.pdf,NULL
Pembrolizumab_for_untreated_metastatic_or_unresectable_recurrent_head_and_neck_squamous_cell_carcinoma.pdf,"1. Yes. The improved 3 year survival is dramatic and unprecedented for this patient group and this is the first time an immune targeted therapy has shown activity in the first line setting. The main unmet need which this study addresses is that these patients die of their disease despite the current therapy with most being dead within a year and almost all being dead within 3 years.

2. Pembrolizumab if compared with second line palliative chemotherapy can be considered innovative and can have a substantial impact on health-related benefits particularly with relation to overall survival and safety profile, but Immunotherapy with Nivolumab has already been available for these groups of patients via CDF. Yes when compared to second line palliative chemotherapy."
Talimogene_laherparepvec_for_treating_unresectable_metastatic_melanoma.pdf,NULL
Etranacogene_dezaparvovec_for_treating_moderately_severe_or_severe_haemophilia_B.pdf,NULL
"Dasatinib,_nilotinib_and_imatinib_for_untreated_chronic_myeloid_leukaemia.pdf",NULL
Pembrolizumab_with_lenvatinib_for_previously_treated_advanced_or_recurrent_endometrial_cancer.pdf,"1. Yes as per previous responses. Yes as per previous responses. – first to show a survival benefit in patients with relapsed endometrial cancer (all comers/ including the MMR proficient group).

2. The treatment is an immunotherapy, which in itself is innovative within this tumour type. It also addresses an area of unmet need – currently this group of patients faces a poor prognosis with response rates of 10-15% to current second line chemo, with typically just a few months of progression free time. This new treatment increases response rates to 40% with a durable response –a real tenable, meaningful difference. This is certainly a huge step change in the management of this condition."
Daratumumab_monotherapy_for_treating_relapsed_and_refractory_multiple_myeloma.pdf,1. This is an established therapy that has demonstrated benefit when used as a monotherapy for patients who have not had prior exposure to anti-CD38 targeting treatment. Daratumumab was the first approved monoclonal antibody for myeloma and is viewed as a step change in treatment. It is associated with excellent responses and duration of response in a significant proportion of heavily pre-treated patients.
Slow-release_potassium_bicarbonate–potassium_citrate_for_treating_distal_renal_tubular_acidosis_(terminated_appraisal).pdf,NULL
Tucatinib_with_trastuzumab_and_capecitabine_for_treating_HER2-positive_advanced_breast_cancer_after_2_or_more_anti-HER2_therapies.pdf,"1. Yes, this technology can be considered to be innovative in its potential to make a significant and substantial impact on health-related benefits. The tucatinib label specifies that patients should have received one or more prior HER2-based regimens in the metastatic setting which reflects the HER2CLIMB population. The protocol required previous trastuzumab, pertuzumab, and T-DM1 but did not specify the setting (early or metastatic) and did not stipulate a number for prior lines of therapy. The approved indication for tucatinib does not list prior therapies by name to allow for flexibility and ensure continued access if the treatment landscape for HER2-positive MBC changes in the future. The treatment after 1st (trastuzumab, herceptin and taxane) and 2nd (TDM1) line therapy is suboptimal compared with the use of the tucatinib combination as described above, particularly in those patients with brain involvement.

2. Yes. This is an important drug combination to control brain metastases for patients with HER2 positive breast cancer in addition to being an effective therapy for patients without brain metastases. Yes, patients with brain metastases have a particular unmet need.

3. Is the technology a 'step-change' in the management of the condition?

Does the use of the technology address any particular unmet need of the patient population?"
Bisphosphonates_for_treating_osteoporosis.pdf,NULL
Roflumilast_for_treating_chronic_obstructive_pulmonary_disease.pdf,NULL
Nivolumab_for_adjuvant_treatment_of_invasive_urothelial_cancer_at_high_risk_of_recurrence.pdf,"1. Yes. Given that these patients mostly receive no adjuvant treatment, Nivolumab would represent a significant innovation. 

Yes, this is an unmet need – see answers above.

2. Yes; Moving Immune check point inhibitor from advanced metastatic setting into earlier setting as adjuvant treatment, where Improvement in DFS is likely to translate into improvement in OS and higher percentage of patients achieving cure is likely to be a “step change ‘in the management of urothelial cancer. The clinical gains is likely to impact on improvement in QOL."
Danicopan_with_ravulizumab_or_eculizumab_for_treating_paroxysmal_nocturnal_haemoglobinuria.pdf,"1. Yes, I believe that there will be improvement in health-related benefits. There is potential reduction in transfusion requirement, reduced need for iron chelation, reduced hospital visits for transfusion. Yes, they do. As PNH is a rare disease, the patients participating in the clinical trials reflect the real-world experience.

2. Yes, if the word residual haemolytic anaemia is used after ensuring that intravascular haemolysis is well controlled on C5 inhibitor.

3. Yes, it is innovative and will significantly improve the health of patients. Proximal complement inhibition in PNH is a step change in treatment and addresses an unmet need. Unmet need: Danicopan is a proximal complement inhibitor and prevents extravascular haemolysis which is a phenomenon of treatment with C5 inhibition. With the addition of danicopan to C5 inhibition haemoglobin increases to near normal/normal enables patients to improve their quality of life and productivity."
Berotralstat_for_preventing_recurrent_attacks_of_hereditary_angioedema.pdf,"1. Yes – only similar alternative currently is attenuated androgen therapy with significant adverse effects and contraindications. Depending on commissioning criteria could benefit patients with moderate to severe activity of disease. Currently effective prophylaxis (non-androgen based) is only accessible to individuals with >2 clinically significant swellings a week – these individuals have to be considered as extremely severe disease. This technology should enable effective therapy for those with moderate to severe disease not meeting the criteria for current prophylaxis. 

•	Is the technology a ‘step-change’ in the management of the condition? Yes

•	Does the use of the technology address any particular unmet need of the patient population? Yes as above and before.

2. Yes, the technology would be the first effective oral medication specifically designed for prevention of HAE attacks. Yes, it provides an effective oral prophylactic medication for patients with HAE who do not qualify for prophylactic treatment with C1 inhibitor or lanadelumab. This is particularly relevant as the two main oral medications currently in use have limitations i.e., androgens/danazol is unlicensed, have limited global supply, side effects, and is not suitable in children; and tranexamic acid is ineffective in most patients with HAE.

3. Yes, the technology would be the first effective oral medication specifically designed for prevention of HAE attacks. It provides an effective oral prophylactic medication for patients with HAE who do not qualify for prophylactic treatment with C1 inhibitor or lanadelumab. This is particularly relevant as the two main oral medications currently in use have limitations i.e. androgens/danazol is unlicensed, have limited global supply, side effects, and is not suitable in children; and tranexamic acid is ineffective in most patients with HAE.

4. Is the technology a 'step-change' in the management of the condition?
Does the use of the technology address any particular unmet need of the patient population?

5. The technology is considered innovative in its potential to make a significant and substantial impact on health-related benefits as it will help to control and reduce the frequency and severity of episodes of swelling, leading to less use of rescue medication and less reliance on health care and carers, thereby, potentially offering psychological benefits not only for patients but also carers. It is particularly beneficial for those with limited ability to self-treat with injections, where there are contraindications to other therapies, or where other therapies are not available. Moreover, it represents a novel agent and use of the oral route for preventative therapy, providing effective prophylaxis to a group currently without any preventive therapy and is seen as a 'step-change' in the management of the condition."
Liposomal_cytarabine–daunorubicin_for_untreated_acute_myeloid_leukaemia.pdf,"1. CPX-351 is a lamellar-encapsulated vehicle that delivers daunorubicin and cytarabine in a fixed molar ratio with enhanced incorporation into the bone marrow and AML cells. While not strictly a ‘targeted’ therapy, in that there is no specific molecular target or determinant of response, this drug is a formulation of chemotherapy that allows more effective delivery to the malignant cells – so, in a way, it really is a targeted agent. Clinical experience has shown that it is well tolerated with a favorable toxicity profile compared to standard DA 3+10 chemotherapy. Yes. There has been no improvement in the outcome of this group of patients for many years. Many patients are resistant to standard chemotherapy and do not make it to a BMT. Yes. By increasing CR rate, reducing relapse risk and delivering more patients to the possibility of allo transplant and cure.

2. This is the first example of utilisation of ‘combiplex’ technology in AML- which proposes a more targeted/synergistic delivery of conventional chemotherapeutic agents. The published (in abstract) phase 3 data in the pre-specified sub-populations of AML indicates improved response with lower toxicity. The pre-specified sub-populations of AML are those with a particularly poor outcome. This is due to a reduced remission and increased relapse rate compared to primary/standard AML. As such CPX-351 appears to improve the response rate- such that more patients are able to undergo curative stem cell transplantation (34% vs 25 %) after CPX-351 compared to standard therapy. Additionally the transplant related complications were lower in the CPX-351 treated patients.

3. Yes. CPX 351 is the first example of utilisation of ‘complex’ technology in AML- which delivers a more targeted/synergistic combination of chemotherapeutic agents, resulting in superior PK/PD than achieved by the same drugs as free agents. There is evidence of sparing non haematopoetic tissue and preferential localisation in the BM, in animal models. This achieves higher effective drug levels in the BM and thereby exposure and internalising in leukaemic cells. Bypassing the efflux mechanisms in the cell membranes may explain better efficacy in high risk AML’s which are more likely to be chemoresistant. The published (in abstract) phase 3 data in the pre-specified sub-populations of AML indicates improved response with lower toxicity.

Yes. This is the first development in the treatment of AML showing improvement in overall survival without excess toxicity, over the conventional DA3+10 which has been used for decades. Easier/ outpatient delivery of the drug is also a welcome change from resource utilisation, to the prolonged hospital stay with standard treatment."
Liraglutide_for_managing_overweight_and_obesity.pdf,NULL
Selpercatinib_for_previously_treated_RET_fusion-positive_advanced_non-small-cell_lung_cancer.pdf,1. N/A as this is a review of TA 760
Belimumab_for_treating_active_autoantibody-positive_systemic_lupus_erythematosus.pdf,"1. Lupus treatment has evolved by incremental steps. Outcomes are clearly better than 20 or more years ago. Belimumab provides a further incremental benefit. It is one of only three treatments that actually holds a licence for use in lupus. Clinical trial evidence suggests that significant benefits are seen for a proportion of patients. With any chronic and complex disease, there remain uncertainties about the overall impact on long-term outcomes, but this evidence is impossible to provide unless we can bring the treatment into more widespread usage. Existing evidence suggests there is a reasonable correlation between short-term outcomes in lupus (disease activity and steroid dosage) and long-term damage (the really health affecting and costly consequences such as renal failure), so it is reasonable to assume this long-term benefits are likely is short-term responses are observed. Belimumab is a step change in so far as it has emerged as one of only three licenced therapeutics for lupus and has a now growing record of successful trial data and post-licensing observational data. Clinically, it is probably best regarded as an important incremental treatment strategy.

2. Yes – already showing benefits to patients:
- Reduced steroid use
- Reduced pill burden
- Improved quality of life
- SC administration will be beneficial to adherent patients requiring more autonomy.

As described above – shared care pathways will improve overall management of patients with lupus – build links, facilitate rapid referral to centre when needed, encourage less use of steroids etc.

3. Reduced corticosteroids side-effects. Already in use. Already in use but was a step-change when introduced as only biological therapy currently licensed for SLE. Uncontrolled SLE."
"Palbociclib_with_fulvestrant_for_treating_hormone_receptor-positive,_HER2-negative_advanced_breast_cancer_after_endocrine_therapy.pdf","1. Palbociclib is recognized as a transformative technology with potential to significantly impact health-related benefits, mainly in the treatment of HR-positive, HER2-negative advanced breast cancer. Its innovative mechanism enhances the effect of endocrine therapy by inhibiting CDK4 and CDK6, which are essential in the proliferation of breast cancer cells. This results in improved progression-free survival with manageable adverse effects, addressing an unmet medical need by offering an effective treatment option where existing therapies are limited. The technology is presented as being capable of making a substantial contribution to treating a disease with high unmet need, substantially improving the way needs are met in the current therapeutic landscape.

2. CDK4/6 inhibitors are seen by many experts internationally as the most important treatment development for breast cancer in the last 20 years. This is reflected in the four existing NICE approvals for CDK4/6 inhibitors, and the widespread adoption into evidence based guidelines.

3. The CDK 4/6 inhibitor drugs have made a dramatic difference to the quality of life and longevity for patients with ER+ metastatic breast cancer. As described above, there are specific clinical scenarios where ribociclib/fulvestrant and abemaciclib/fulvestrant are not indicated on the Cancer Drugs Fund and the addition of palbociclib/fulvestrant would enable these patients to access high quality care that they would otherwise not get. The major step change was the introduction of CDK 4/6 inhibitors more generally. However, it is essential that as many patients as possible can access this safe and effective treatment."
Cabozantinib_for_previously_treated_advanced_differentiated_thyroid_cancer_unsuitable_for_or_refractory_to_radioactive_iodine.pdf,"1. Substantial health benefits are likely to be realized based on data from the COSMIC trial which demonstrated that Cabozantinib significantly prolonged progression-free survival in patients with radio-resistant and progressive metastatic disease. Current second line treatment options for progressive (and radioresistant) DTC are limited in the UK, with patients getting best supportive care after treatment failures with drugs like Sorafenib and Levatinib.

Treatment with Cabozantinib offers a credible therapeutic option to patients in this group and the safety and efficacy of the drug have been evaluated in the COSMIC 311 Trial. Cabozantinib showed significant improvement in progression-free survival over placebo. Cabozantinib therefore is a viable therapeutic option with the potential to reduce disease burden and improve progression free survival. A drug that offers this therapeutic response in eligible patients is clearly a significant step compared to offering only best supportive care to patients with progressive metastatic radio-resistant disease.

2. Yes- currently there is no active treatment available for the majority of these patients and their prognosis is very poor, so it is addressing a significant unmet need."
Venetoclax_with_obinutuzumab_for_untreated_chronic_lymphocytic_leukaemia.pdf,"1. Treatment with Ibrutinib in relapsed patients has shown significant improvement not only in disease control, prolonging survival but also in restoring quality of life. VenO is likely to deliver similar outcome but with limited duration treatment.

2. Yes, it is likely that a significant number of the MRD negative patients are cured. For example, 51% of patients treated with Ven-Obi were in a deep molecular MRD at 10^-6 by sequencing. Yes, thanks to its tolerability and high MRD and PFS results.

3. The response area for the question 'Do you consider the technology to be innovative in its potential to make a significant and substantial impact on health-related benefits and how might it improve the way that current need is met?' from the images you provided is blank, indicating no response was recorded there."
Lanadelumab_for_preventing_recurrent_attacks_of_hereditary_angioedema.pdf,"1. The response to the question in the images is not provided within the visible text portions. The spaces for answers are blank.

2. Yes, for patients with severe or unresponsive disease. Although, the long term effects of this technology are not known and there is a need for long term post-marketing surveillance.

3. This is certainly innovative and represents the first targeted monoclonal therapy for HAE with a treatment interval of up to 4 weekly. Yes for the reasons outlined above. In patients that remain uncontrolled or are unable to take anabolic steroids this technology provides a suitable alternative that is more convenient than Cl-inhibitor concentrate which is administered 3x weekly."
Sapropterin_for_treating_hyperphenylalaninaemia_in_phenylketonuria.pdf,"1. Yes. Treatment adherence is low with dietary management in all age groups. By adulthood, it is known that 79% of adults fail to control their blood phenylalanine levels within target range even though lifelong treatment is recommended. Some patients describe moving in and out of dietary treatment but struggle to recommence dietary treatment. Probably 50% of adult patients have stopped diet completely because they are unable to adhere to it. It is unrealistic to expect patients to maintain such a restrictive diet when this is so difficult to apply on a day to day basis. Therefore for 20-30% of patients with PKU, sapropterin will offer an alternative treatment that is easy to administer and will substantially lessen the need for 'Foods for Special Purposes.’ For these patients it will ensure that they can be prescribed a treatment they are able to adhere to, maintain their blood Phe within target reference range for their age and substantially increase their natural protein tolerance.

2. Overall, the benefits expected are chiefly in reduction in the burden of the current PKU diet therapy and hence improved quality of life. For some patients these benefits might be significant, as might be the improvement in Phe control, particularly if adherence to current PKU diet is very difficult. Although there have been significant improvements in the tolerability of the standard dietary therapy, for those PKU patients who are Sapropterin responsive, this would represent the first major innovation in therapy in 50 years since dietary therapy was introduced. For some patients (& parents who are providing the diet for their children), the daily burden and complexity of the current PKU diet is high. Sapropterin would offer an alternative therapy for those that are responsive, with potential to improve Phe control and increase natural dietary protein intake (i.e. return to a more normal liberalised diet).

3. Yes – reducing the burden of diet and its impact on the family unit. May allow more social inclusiveness.

4. I agree with the submission by the NSPKU

5. No. This is just an adjunct to our current management. The simplest way to think of it is that in some patients it can reduce the baseline Phe level. No. A small number of babies with hyperphenylalaninaemia might be able to avoid dietary treatment in childhood. Only partially. Most patients will still need to maintain a low protein diet."
Trifluridine–tipiracil_for_treating_metastatic_gastric_cancer_or_gastro-oesophageal_junction_adenocarcinoma_after_2_or_more_treatments.pdf,"1. Yes, currently there is no active treatment available for patients who have progressed through 2 lines of therapy in the advanced gastric setting. This technology significantly improves survival compared to the current standard of care (BSC) and is also given orally, which is an option not available in either first or second line treatment. This is the first global study to show efficacy (survival benefit) in this indication, addressing a particular unmet need of the patient population.

2. Yes, there has not been any high quality evidence of a treatment which improved survival for patients in this setting before. Yes, it is considered a 'step-change' in the management of the condition and addresses the need for effective treatment which can improve survival."
Pembrolizumab_for_treating_relapsed_or_refractory_classical_Hodgkin_lymphoma_after_stem_cell_transplant_or_at_least_2_previous_therapies.pdf,"1. Amplification of PD-1 ligands is now known to be a defining feature of Hodgkin lymphoma. Checkpoint inhibitors have unprecedented single agent efficacy in this disease. The optimum use of PD-1 inhibitors is yet to be defined, but there is a strong pre-clinical rationale for bringing them into the treatment pathway earlier, at a point when patients are less immunosuppressed and able to mount effective anti-tumour immune responses. Yes, for transplant-unfit patients in particular.

2. PD1 inhibitors are hugely innovative and have revolutionised cancer medicine. This appraisal however is more about defining their place in the pathway. It enables a high rate of durable responses earlier on the treatment pathway, and a bridge to transplant for younger patients."
Alectinib_for_untreated_ALK-positive_advanced_non-small-cell_lung_cancer.pdf,"1. Yes. The impact on prevention and treatment of brain metastases is absolutely critical. Development and/or progression of brain metastases is a physically and psychologically devastating event which grossly affects quality of life. Any treatment that reduces the incidence of brain metastases is welcome, as is any agent that can treat existing brain metastases without the need for neurosurgery or cranial radiotherapy. On the basis of the evidence available Alectinib achieves both of these (ALEX study). Yes – the huge difference in progression free survival for patients with brain metastases treated with Alectinib compared to Crizotinib (ALEX study), is indicative of the step-change. Yes – control and prevention of brain metastases.

2. Is the technology a 'step-change' in the management of the condition?
Does the use of the technology address any particular unmet need of the patient population?

3. No. whilst it is probably an improved strategy to use alectinib up front compared to crizotinib followed by a 2nd generation ALK inhibitor such as alectinib or ceritinib this has not formally been answered within a clinical trial as yet.

The progression free survival and brain disease control seen with agent in the ALEX study suggest that it is a significant “step-up” from the present standard of care.

Yes. These patients have high rates of central nervous system metastases. Alectinib delays the onset of these metastases which can be difficult to treat.

4. Yes. The main innovation relates to CNS penetration and excellent control of intracranial disease. Additionally, it seems to have a favorable toxicity profile.

The efficacy data is a paradigm shift in the 1st line treatment of this disease and it is likely to make a substantial and significant impact on QoL. Predominantly by being less toxic, preventing the development of brain mets and delaying the progression of existing brain mets."
Sofosbuvir_for_treating_chronic_hepatitis C.pdf,NULL
Pembrolizumab_with_carboplatin_and_paclitaxel_for_untreated_metastatic_squamous_non-small-cell_lung_cancer.pdf,"1. The sections shown in the images do not provide a direct response to question 18. The answer spaces remain blank, indicating that the answers to the questions asking about the innovative potential of the technology and its impact on health-related benefits, as well as improvement of current needs, were not filled out or captured in these images."
"Alpelisib_with_fulvestrant_for_treating_hormone_receptor-positive,_HER2-negative,_PIK3CA-mutated_advanced_breast_cancer.pdf","1. Alpelisib with fulvestrant is a 'step change' as it is the only treatment to be evaluated for the PIK3CA +ve patients both after endocrine monotherapy (randomised SOLAR-1 registration trial see above) and prospectively evaluated following CDK4/6 inhibitors (ByLieve study see above). This targeted agent allows for individualised care, with a greater potential for response rather than the ‘one size fits all’ approach of chemotherapy. Other options such as Everolimus have not been evaluated in this setting and have significant pulmonary toxicity which has become a concern more recently with the Coronavirus pandemic and both the risk of contracting COVID-19 and diagnostic uncertainty.

2. Yes: because it is a targeted therapy (to PIK3CA) going beyond simply treating all patients with HR positive HER2 negative breast cancer in the same/similar manner."
Durvalumab_with_etoposide_and_either_carboplatin_or_cisplatin_for_untreated_extensive-stage_small-cell_lung_cancer.pdf,"1. Durvalumab is not innovative given that atezolizumab is already NICE approved and available for the same indication. However, durvalumab was innovative in improving overall survival over chemotherapy alone at the time the CASPIAN trial reported."
Etelcalcetide_for_treating_secondary_hyperparathyroidism.pdf,NULL
Elafibranor_for_previously_treated_primary_biliary_cholangitis.pdf,"1. Elafibranor is a new technology that has a different mode of action compared to the current second-line reimbursed treatment OCA, providing a clinically and cost-effective alternative for clinicians and patients to choose from. As described in section 3i, there are additional benefits that have not been captured within the model. Elafibranor may have a benefit on carers in reducing the burden they experience in looking after or supporting a person with PBC. Another advantage for elafibranor compared to OCA is that dose-titration is not required. OCA should be started at a dose of 5 mg once daily for the first 6 months and after this, if patients who are tolerating OCA and have not achieved an adequate reduction in ALP or TB, the dose is increased to a maximum dose of 10 mg once daily. Elafibranor’s dose is 80 mg once daily as a single tablet and no dose adjustment is required during treatment.

2. Elafibranor has a novel mode of action, though part of its activity overlaps with that of fibrates (PPAR-alpha agonists) and therefore it is innovative. The impact it will make in terms of the proportion of patients with PBC who have a durable response to treatment, which leads to a reduced liver-related mortality or the need for liver transplantation, is currently unclear.

3. No.

4. Elafibranor will, in my view, be an important addition to the therapeutic option that we have for PBC. This will, however, be an incremental advance over obeticholic acid rather than a step-change (the advent of the first second-line therapy obeticholic acid was indeed a step change). The unmet need that is addressed is a second-line therapy option for PBC patients with significant itch, where use of obeticholic acid might be regarded as undesirable, and as an alternative second-line therapy in PBC who develop significant itch with obeticholic acid that is not responsive to standard management approaches. The extent to which elafibranor will be useful as a therapy specifically for itch treatment (i.e. patients who need itch control therapy but in whom second-line therapy is not indicated; an area with limited licensed therapies but not, as far as I understand, a proposed labelled indication for elafibranor) will become clear if and when we have clinical access. With the caveat that long-term data are needed the side-effect profile and drug tolerability represent major advantages of the drug. Given the lack of significant side-effects, and the positive effect on itch, elafibranor is a net improver of PBC patient quality life. This is important in a condition where quality of life issues are frequently an important factor."
Avatrombopag_for_treating_primary_chronic_immune_thrombocytopenia.pdf,"1. Efficacy and tolerance appear similar to other TPO RAs, but there are additional benefits outlined in question 13. The relatively quick onset of action (65% had responded by day 8 in the main phase III study) compared with other TPO RA may enable clinicians to avoid steroid rescue for some patients. No, this is a drug within the class of existing TPO RA. However not all patients respond to existing TPO RA and the class of drug is particularly valuable for patients because they do not suppress the immune system. Greater patient convenience over a subcutaneous injection and no dietary restrictions. Despite their potential side effects, the HRQoL is often improved in responding patients to this class of drug (TPO RA) The published data on tolerance for avatrombopag does not appear greatly different from other treatments in this class. Advantages are convenience (oral, no dietary restriction) and potential to reduce steroid burden.

2. There are some clear advantages from a patient perspective, particularly the lack of the dietary restrictions required for eltrombopag, which can be forgotten or confused by older patients who take calcium or dairy products that reduce absorption of eltrombopag, leading to breakthrough thrombocytopenia."
Crisaborole_for_treating_mild_to_moderate_atopic_dermatitis_in_people_2_years_and_older_(terminated_appraisal).pdf,1. The technology is unlikely to be considered innovative.
Nivolumab–relatlimab_for_untreated_unresectable_or_metastatic_melanoma_in_people_12_years_and_over.pdf,"1. Yes – patients not suitable for ipilimumab and nivolumab

2. The images do not contain a response to the question on whether the technology is considered innovative in its potential to make a significant and substantial impact on health-related benefits or how it might improve the way that current need is met. The shown content only displays the question without any accompanying answer."
Mogamulizumab_for_previously_treated_mycosis_fungoides_and_Sézary_syndrome.pdf,"1. Yes, it provides a safe and effective therapy for MF/SS and will provide a new treatment option for patients who have no further lines of therapy available and are suffering painful itchy and disfiguring skin lesions.

2. Yes in that it provides evidence of benefit for the group of patients who have a particularly aggressive disease course and poor outcomes. For some patients, it may treat and stabilise their lymphoma and allow a stem cell transplant. Yes in that more effective therapies are required, in particular therapies without significant toxicities that can be continued until progression.

3. Is the technology a 'step-change' in the management of the condition? Does the use of the technology address any particular unmet need of the patient population?

4. Yes it provides a safe and effective therapy for MF/SS and will provide a new treatment option for patients who have no further lines of therapy available and are suffering painful itchy and disfiguring skin lesions."
Everolimus_with_exemestane_for_treating_advanced_breast_cancer_after_endocrine_therapy.pdf,1. The Committee acknowledged that the mechanism of action of everolimus may offer a step change in treatment by restoring sensitivity of the tumor to endocrine therapy.
Trastuzumab_emtansine_for_adjuvant_treatment_of_HER2-positive_early_breast_cancer.pdf,1. Yes
Sofosbuvir–velpatasvir–voxilaprevir_for_treating_chronic_hepatitis_C.pdf,"1. The technology addresses an unmet need in the patient population by providing treatment that is free from ribavirin, has a shorter duration, and can be deployed easily across various settings including difficult-to-access patient groups. While not considered a step-wise change in managing the condition, its innovative approach lies in its potential to achieve widespread usage with minimal side effect profile and without the need for genotype or disease staging prior to use.

2. The trial data that I have seen suggests these are more potent agents with a more pan-genotypic profile and with possibly a higher barrier to resistance than some of the current DAA drugs. Introduction of DAA therapy was a step-change. Introduction of second generation DAA drugs will improve SVR12 rates from very high to extremely high. Yes for those patients who have failed DAA containing regimens.

3. There are currently no/limited options for treating and curing those individuals that have failed DAA-based regimens. This technology would provide a significant impact and benefits in this scenario. Only for those that have failed previous DAA-based regimens. In this scenario then I consider it a 'step-change', but not in other populations."
Adalimumab_for_treating_moderate_to_severe_hidradenitis_suppurativa.pdf,NULL
Entrectinib_for_treating_ROS1-positive_advanced_non-small-cell_lung_cancer.pdf,"1. Lung cancer has become a disease of multiple molecular sub-types and there has been very clear and tangible benefits in using molecularly targeted therapies. ROS1 fusion represents 1-2% of the NSCLC (non-squamous) population and there is no doubt that targeting this molecular driver results in clear patient benefit. To date, crizotinib is the only agent available for targeting this pathway but was not designed initially as a specific ROS1 inhibitor, therefore, has less specificity for the target. Entrectinib is a multikinase inhibitor but selectively inhibits ROS/ALK/TRK and has 40x greater affinity for the ROS1 target than crizotinib. The data to date support the superior efficacy of entrectinib although it is extremely challenging to undertake a randomised controlled trial to compare the agents due to the low prevalence of the alteration and time that would be required to undertake such a study. Nonetheless, there is clear evidence for the CNS activity which could provide a step-change in the management of this condition and reduce morbidity."
Cabotegravir_with_rilpivirine_for_treating_HIV-1.pdf,"1. For a small number of patients, with specialist support, this technology has the potential to improve health-related benefits. For example, NHIVNA members were involved in initiating a patient onto injectable ART. This patient was accepted on compassionate grounds. For the first time they reached undetectable levels and the injectable ART were administered in the patient’s home each month. This has transformed the patient’s life and significantly reduced the risk of onward transmission. Potentially, for a small number of patients but not for the majority of people who adhere well to oral ART.

2. New and innovative technologies are often taken up by people who are well informed and fully engaged with a service. Although this technology may be useful for a small number of people in this group, we believe that its main potential lies in its ability to engage the small number of people with HIV in England who do not, or will not, take oral ART and have difficulty engaging with HIV services because of this.  

Investment in nursing workforce needed if widespread use of the technology is to be introduced. Use of this technology in patients with complex needs is vital, as is the specialist support to ensure this. Most people with HIV in England adhere well to oral ART and are likely to continue to do so. This technology will increase the amount and level of resources needed to deliver an HIV service. Ensuring equality and access to this technology in marginalised groups is vital."
Brentuximab_vedotin_for_treating_relapsed_or_refractory_systemic_anaplastic_large_cell_lymphoma.pdf,NULL
Sebelipase_alfa_for_treating_lysosomal_acid_lipase_deficiency_that_is_not_Wolman_disease_(terminated_appraisal).pdf,"1. LAL Deficiency is a serious, debilitating and multi-systemic disease that results in early mortality. Onset of LAL Deficiency is from birth, and affects all ages, but mainly presents as a paediatric disease. In the absence of an effective therapy, infants with this condition die before the age of 6 months. Liver failure is the main cause of death, though patients are also at risk of fatal cardiovascular events (Bernstein, 2013).

The disease represents a significant unmet medical need because there are currently no available treatment options that specifically correct the biological cause of the condition. Current therapies are supportive in nature and consist of lipid-lowering therapies, haematopoietic stem cell, and liver transplantation. These therapies do not address the underlying defect in LAL Deficiency and do not appear to substantially modify the outcome in affected patients (Hoeg, 1984; Meyers, 1985; Data on File, CSR LAL-1-NH01). Surgical interventions in particular are associated with complications and increased morbidity/mortality.

Sebelipase alfa is innovative and represents a step-change in the management of this multi-systemic, life-limiting condition because:
- It is the first pharmacological treatment approved for the treatment of LAL Deficiency.
- It is approved for use in LAL Deficiency patients of all ages.
- It is the first treatment option (pharmacological or otherwise) that addresses the underlying biological cause of LAL Deficiency. Sebelipase alfa is an ERT: therapy aims to replace deficient enzyme and prevent the damage caused by accumulation of its substrate, cholesteryl esters and triglycerides.
- Sebelipase alfa substantially improves survival in infants compared to current supportive care.
- Sebelipase alfa significantly improved markers of chronic liver injury compared to placebo, potentially reversing liver damage and improving liver outcomes in children and adults thus improving quality of life and survival.
- Sebelipase alfa significantly improved dyslipidaemia compared to placebo, supporting its role in treating the underlying cause of disease and reducing cardiovascular risk."
