Title,Recommendation text,Decision
Caplacizumab with plasma exchange and immunosuppression for treating acute acquired thrombotic thrombocytopenic purpura,"1.1Caplacizumab with plasma exchange and immunosuppression is recommended, within its marketing authorisation, as an option for treating an acute episode of acquired thrombotic thrombocytopenic purpura (TTP) in adults, and in young people aged 12 years and over who weigh at least 40 kg. Treatment should be started and supervised by physicians experienced in managing thrombotic microangiopathies. It is recommended only if the company provides caplacizumab according to thecommercial arrangement.",Conditional
Venetoclax with obinutuzumab for untreated chronic lymphocytic leukaemia,"1.1Venetoclax plus obinutuzumab is recommended as an option for untreatedchronic lymphocytic leukaemia (CLL) in adults, only if: | 1.2Venetoclax plus obinutuzumab is recommended for use within the Cancer Drugs Fund as an option for untreated CLL in adults, only if: | 1.3These recommendations are not intended to affect treatment with venetoclax plus obinutuzumab that was started in the NHS before this guidance was published. People having treatment outside these recommendations may continue without change to the funding arrangements in place for them before this guidance was published, until they and their NHS clinician consider it appropriate to stop.",Conditional
Liraglutide for managing overweight and obesity,"1.1Liraglutide is recommended as an option for managing overweight and obesity alongside a reduced-calorie diet and increased physical activity in adults, only if: | 1.2This recommendation is not intended to affect treatment with liraglutide that was started in the NHS before this guidance was published. Adults having treatment outside this recommendation may continue without changes to the funding arrangements in place for them before this guidance was published, until they and their NHS clinician consider it appropriate to stop.",Conditional
Upadacitinib for treating severe rheumatoid arthritis,"1.1Upadacitinib, with methotrexate, is recommended as an option for treating active rheumatoid arthritis in adults whose disease has responded inadequately to intensive therapy with a combination of conventional disease-modifying antirheumatic drugs (DMARDs), only if: | 1.2Upadacitinib, with methotrexate, is recommended as an option for treating active rheumatoid arthritis in adults whose disease has responded inadequately to or who cannot have other DMARDs, including at least 1 biological DMARD, only if: | 1.3Upadacitinib, with methotrexate, is recommended as an option for treating active rheumatoid arthritis in adults whose disease has responded inadequately to rituximab and at least 1 biological DMARD, only if: | 1.4Upadacitinib can be used as monotherapy for people who cannot take methotrexate because it is contraindicated or because of intolerance, when the criteria in sections 1.1, 1.2 or 1.3 are met. | 1.5Continue treatment only if there is a moderate response measured using European League Against Rheumatism (EULAR) criteria at 6 months after starting therapy. After an initial response within 6 months, stop treatment if at least a moderate EULAR response is not maintained. | 1.6When using the DAS28, healthcare professionals should take into account any physical, psychological, sensory or learning disabilities, or communication difficulties that could affect the responses to the DAS28 and make any adjustments they consider appropriate. | 1.7These recommendations are not intended to affect treatment with upadacitinib that was started in the NHS before this guidance was published. People having treatment outside these recommendations may continue without change to the funding arrangements in place for them before this guidance was published, until they and their NHS clinician consider it appropriate to stop.",Conditional
Darolutamide with androgen deprivation therapy for treating hormone-relapsed non-metastatic prostate cancer,"1.1Darolutamide with androgen deprivation therapy (ADT) is recommended, within its marketing authorisation, as an option for treating hormone-relapsed prostate cancer in adults at high risk of developing metastatic disease. It is recommended only if the company provides darolutamide according to thecommercial arrangement.",Conditional
Pembrolizumab for untreated metastatic or unresectable recurrent head and neck squamous cell carcinoma,"Pembrolizumab is recommended as an option foruntreated metastatic or unresectable recurrent head and neck squamous cell carcinoma (HNSCC) in adults whose tumours express PD‑L1 with a combined positive score (CPS) of 1 or more. This is only if: pembrolizumab is given as a monotherapy pembrolizumab is stopped at 2 years of uninterrupted treatment, or earlier if disease progresses, and the company provides pembrolizumab according to thecommercial arrangement. | This recommendation is not intended to affect treatment with pembrolizumab that was started in the NHS before this guidance was published. People having treatment outside this recommendation may continue without change to the funding arrangements in place for them before this guidance was published, until they and their NHS clinician consider it appropriate to stop.",Conditional
Durvalumab in combination for untreated extensive-stage small-cell lung cancer (terminated appraisal),Recommendation Not Found,Rejected
Drug-eluting stents for the treatment of coronary artery disease,"1.1Drug-eluting stents are recommended for use in percutaneous coronary intervention for treating stable angina, within their instructions for use, only if:",Conditional
Guidance on the use of coronary artery stents,"1.1Stents should be used routinely when percutaneous coronary intervention (PCI) is the clinically appropriate procedure for people with stable angina.For recommendations on drug-eluting stents for people with unstable angina, non-ST-segment-elevation myocardial infarction (NSTEMI) or ST-segment-elevation myocardial infarction (STEMI), seerecommendation 1.1.18andrecommendation 1.2.18 in NICE's guideline on acute coronary syndromes.[2020] | 1.2This recommendation has been replaced byNICE's technology appraisal guidance on drug-eluting stents for the treatment of coronary artery disease.[2008] | 1.3This recommendation has been replaced byNICE's technology appraisal guidance on drug-eluting stents for the treatment of coronary artery disease.[2008] | 1.4This recommendation has been replaced byNICE's technology appraisal guidance on drug-eluting stents for the treatment of coronary artery disease.[2008] | 1.5This guidance specifically relates to the present clinical indications for PCI and excludes conditions (such as many cases of stable angina) that are adequately managed with standard drug therapy.[2003]",Rejected
Siponimod for treating secondary progressive multiple sclerosis,"1.1Siponimod is recommended, within its marketing authorisation, as an option for treating secondary progressive multiple sclerosis with evidence of active disease (that is, relapses or imaging features of inflammatory activity) in adults. It is recommended only if the company provides siponimod according to thecommercial arrangement.",Conditional
Carfilzomib for previously treated multiple myeloma,"1.1Carfilzomib with dexamethasone is recommended as an option for treating multiple myeloma in adults, only if: | 1.2These recommendations are not intended to affect treatment with carfilzomib that was started in the NHS before this guidance was published. People having treatment outside these recommendations may continue without change to the funding arrangements in place for them before this guidance was published, until they and their NHS clinician consider it appropriate to stop.[2017]",Conditional
Isatuximab with pomalidomide and dexamethasone for treating relapsed and refractory multiple myeloma,"Isatuximab, plus pomalidomide and dexamethasone, is recommended for use within the Cancer Drugs Fund as an option for treating relapsed and refractory multiple myeloma in adults who have had lenalidomide and a proteasome inhibitor, and whose disease has progressed on their last treatment, only if: they have had 3 previous lines of treatment the conditions in themanaged access agreementfor isatuximab plus pomalidomide and dexamethasone are followed. | This recommendation is not intended to affect treatment withisatuximab plus pomalidomide and dexamethasone that was started in the NHS before this guidance was published. People having treatment outside this recommendation may continue without change to the funding arrangements in place for them before this guidance was published, until they and their NHS clinician consider it appropriate to stop.",Conditional
Galcanezumab for preventing migraine,"1.1Galcanezumab is recommended as an option for preventing migraine in adults, only if: | 1.2Stop galcanezumab after 12 weeks of treatment if: | 1.3This recommendation is not intended to affect treatment with galcanezumab that was started in the NHS before this guidance was published. People having treatment outside this recommendation may continue without change to the funding arrangements in place for them before this guidance was published, until they and their NHS clinician consider it appropriate to stop.",Conditional
Nivolumab for advanced squamous non-small-cell lung cancer after chemotherapy,"1.1Nivolumab is recommended as an option for treating locally advanced or metastatic squamous non-small-cell lung cancer (NSCLC) in adults after chemotherapy, only if:",Conditional
Osimertinib for treating EGFR T790M mutation-positive advanced non-small-cell lung cancer,"1.1Osimertinib is recommended as an option for treating epidermal growth factor receptor (EGFR) T790M mutation-positive locally advanced or metastatic non-small-cell lung cancer (NSCLC) in adults, only if: | 1.2This recommendation is not intended to affect treatment with osimertinib that was started in the NHS before this guidance was published. People having treatment outside this recommendation may continue without change to the funding arrangements in place for them before this guidance was published, until they and their NHS clinician consider it appropriate to stop.",Conditional
Osimertinib for untreated EGFR mutation-positive non-small-cell lung cancer,"1.1Osimertinib is recommended, within its marketing authorisation, as an option for untreated locally advanced or metastatic epidermal growth factor receptor (EGFR) mutation-positive non-small-cell lung cancer (NSCLC) in adults. It is recommended only if the company provides osimertinib according to thecommercial arrangement.",Conditional
Pembrolizumab with axitinib for untreated advanced renal cell carcinoma,"1.1Pembrolizumab with axitinib is not recommended, within its marketing authorisation, for untreated advanced renal cell carcinoma in adults. | 1.2This recommendation is not intended to affect treatment with pembrolizumab plus axitinib that was started in the NHS before this guidance was published. People having treatment outside this recommendation may continue without change to the funding arrangements in place for them before this guidance was published, until they and their NHS clinician consider it appropriate to stop.",Rejected
Naldemedine for treating opioid-induced constipation,"1.1Naldemedine is recommended, within its marketing authorisation, as an option for treating opioid-induced constipation in adults who have had laxative treatment.",Approved
Polatuzumab vedotin with rituximab and bendamustine for treating relapsed or refractory diffuse large B-cell lymphoma,"1.1Polatuzumab vedotin with rituximab and bendamustine is recommended, within its marketing authorisation, as an option for treating relapsed or refractory diffuselarge B‑cell lymphoma in adults who cannot havea haematopoietic stem cell transplant. It is recommended only if the company provides polatuzumab vedotin according to thecommercial arrangement.",Conditional
Dupilumab for treating chronic rhinosinusitis with nasal polyps (terminated appraisal),Recommendation Not Found,Rejected
Glasdegib with chemotherapy for untreated acute myeloid leukaemia (terminated appraisal),Recommendation Not Found,Rejected
Eculizumab for treating relapsing neuromyelitis optica (terminated appraisal),Recommendation Not Found,Rejected
Avelumab with axitinib for untreated advanced renal cell carcinoma,"1.1Avelumab with axitinib is recommended for use within the Cancer Drugs Fund as an option for untreated advanced renal cell carcinoma in adults. It is recommended only if the conditions in themanaged access agreementfor avelumab with axitinib are followed. | 1.2This recommendation is not intended to affect treatment with avelumab plus axitinib that was started in the NHS before this guidance was published. People having treatment outside this recommendation may continue without change to the funding arrangements in place for them before this guidance was published, until they and their NHS clinician consider it appropriate to stop.",Conditional
Brentuximab vedotin in combination for untreated systemic anaplastic large cell lymphoma,"1.1Brentuximab vedotin with cyclophosphamide, doxorubicin and prednisone (CHP) is recommended, within its marketing authorisation, as an option for untreated systemic anaplastic large cell lymphoma in adults. It is only recommended if the company provides brentuximab vedotin according to thecommercial arrangement.",Approved
Gilteritinib for treating relapsed or refractory acute myeloid leukaemia,"1.1Gilteritinib monotherapy is recommended as an option for treating relapsed or refractory FLT3‑mutation-positive acute myeloid leukaemia (AML) in adults only if the company provides gilteritinib according to thecommercial arrangement. | 1.2Gilteritinib should not be given as maintenance therapy after a haematopoietic stem cell transplant. | 1.3These recommendations are not intended to affect treatment with gilteritinib that was started in the NHS before this guidance was published. People having treatment outside this recommendation may continue without change to the funding arrangements in place for them before this guidance was published, until they and their NHS clinician consider it appropriate to stop.",Conditional
Entrectinib for treating ROS1-positive advanced non-small-cell lung cancer,"1.1Entrectinib is recommended, within its marketing authorisation, as an option for treating ROS1-positive advanced non-small-cell lung cancer (NSCLC) in adults who have not had ROS1 inhibitors. It is recommended only if the company provides entrectinib according to thecommercial arrangement.",Conditional
Entrectinib for treating NTRK fusion-positive solid tumours,"1.1Entrectinib is recommended for use within the Cancer Drugs Fund as an option for treating neurotrophic tyrosine receptor kinase (NTRK) fusion-positive solid tumours in adults and children 12 years and older if: | 1.2This recommendation is not intended to affect treatment with entrectinib that was started in the NHS before this guidance was published. People having treatment outside this recommendation may continue without change to the funding arrangements in place for them before this guidance was published, until they and their NHS clinician consider it appropriate to stop. For children and young people, this decision should be made jointly by the clinician and the child or young person or their parents or carers.",Approved
Treosulfan with fludarabine for malignant disease before allogeneic stem cell transplant,"1.1Treosulfan with fludarabine is recommended as an option for conditioning treatment before allogeneic haematopoietic stem cell transplant (allo-HSCT) for people with malignant diseasesfor whom a reduced intensity regimen, such as low-dose busulfan with fludarabine, would be suitable.",Approved
Atezolizumab with carboplatin and etoposide for untreated extensive-stage small-cell lung cancer,"1.1Atezolizumab with carboplatin and etoposide is recommended as an option for untreated extensive-stage small-cell lung cancer in adults, only if: | 1.2When using ECOG performance status, healthcare professionals should take into account any physical, sensory or learning disabilities, or communication difficulties that could affect ECOG performance status and make any adjustments they consider appropriate. | 1.3These recommendations are not intended to affect treatment with atezolizumab that was started in the NHS before this guidance was published. People having treatment outside these recommendations may continue without change to the funding arrangements in place for them before this guidance was published, until they and their NHS clinician consider it appropriate to stop.",Conditional
"Atezolizumab with nab-paclitaxel for untreated PD-L1-positive, locally advanced or metastatic, triple-negative breast cancer","1.1Atezolizumab with nab‑paclitaxel is recommended, within its marketing authorisation, for treatingtriple-negative, unresectable, locally advanced or metastatic breast cancer in adults whose tumours express PD‑L1 at a level of 1% or more and who have not had previous chemotherapy for metastatic disease. It is recommended only if the company provides atezolizumab according to thecommercial arrangement.",Conditional
Daratumumab with lenalidomide and dexamethasone for untreated multiple myeloma (terminated appraisal),Recommendation Not Found,Rejected
Ramucirumab with erlotinib for untreated EGFR-positive metastatic non-small-cell lung cancer (terminated appraisal),Recommendation Not Found,Rejected
Eculizumab for treating refractory myasthenia gravis (terminated appraisal),Recommendation Not Found,Rejected
Ranibizumab for treating diabetic retinopathy (terminated appraisal),Recommendation Not Found,Rejected
Avatrombopag for treating thrombocytopenia in people with chronic liver disease needing a planned invasive procedure,"1.1Avatrombopag is recommended, within its marketing authorisation, as an option for treating severe thrombocytopenia (that is, a platelet count of below 50,000 platelets per microlitre of blood) in adults with chronic liver disease having a planned invasive procedure.",Approved
Ustekinumab for treating moderately to severely active ulcerative colitis,"1.1Ustekinumab is recommended as an option for treating moderately to severely active ulcerative colitis in adults when conventional therapy or a biological agent cannot be tolerated, or the disease has responded inadequately or lost response to treatment, only if: | 1.2This recommendation is not intended to affect treatment with ustekinumab that was started in the NHS before this guidance was published. People having treatment outside this recommendation may continue without change to the funding arrangements in place for them before this guidance was published, until they and their NHS clinician consider it appropriate to stop.",Conditional
Trastuzumab emtansine for adjuvant treatment of HER2-positive early breast cancer,"1.1Trastuzumab emtansine is recommended, within its marketing authorisation, as an option for theadjuvant treatment of human epidermal growth factor receptor 2 (HER2)‑positive early breast cancer in adults who have residual invasive disease in the breast or lymph nodes after neoadjuvant taxane-based and HER2‑targeted therapy. It is recommended only if the company provides trastuzumab emtansine according to thecommercial arrangement.",Conditional
Larotrectinib for treating NTRK fusion-positive solid tumours,"1.1Larotrectinib is recommended for use within the Cancer Drugs Fund as an option for treating neurotrophic tyrosine receptor kinase (NTRK) fusion-positive solid tumours in adults and children if: | 1.2This recommendation is not intended to affect treatment with larotrectinib that was started in the NHS before this guidance was published. People having treatment outside this recommendation may continue without change to the funding arrangements in place for them before this guidance was published, until they and their NHS clinician consider it appropriate to stop. For children and young people, this decision should be made jointly by the clinician and the child or young person or their parents or carers.",Approved
Lorlatinib for previously treated ALK-positive advanced non-small-cell lung cancer,"1.1Lorlatinib is recommended, within its marketing authorisation, as an option for treating anaplastic lymphoma kinase (ALK)-positive advanced non-small-cell lung cancer (NSCLC) in adults whose disease has progressed after:",Approved
Obinutuzumab with bendamustine for treating follicular lymphoma after rituximab,"1.1Obinutuzumab with bendamustine followed by obinutuzumab maintenance is recommended, within its marketing authorisation, as an option for treating follicular lymphoma that did not respond or progressed up to 6 months after treatment with rituximab or a rituximab-containing regimen. It is recommended only if the company provides it according to thecommercial arrangement.",Conditional
Lenalidomide with rituximab for previously treated follicular lymphoma,"1.1Lenalidomide with rituximab is recommended, within its marketing authorisation, as an option for previously treated follicular lymphoma (grade 1 to 3A) in adults. It is only recommended if the company provides lenalidomide according to thecommercial arrangement.",Approved
Recombinant human parathyroid hormone for treating hypoparathyroidism (terminated appraisal),Recommendation Not Found,Rejected
Peginterferon beta-1a for treating relapsing–remitting multiple sclerosis,"1.1Peginterferon beta‑1a is recommended, within its marketing authorisation, as an option for treating relapsing–remitting multiple sclerosis in adults.",Approved
Patiromer for treating hyperkalaemia,"1.1Patiromer is recommended as an option for treating hyperkalaemia in adults only if used: | 1.2Stop patiromer if RAAS inhibitors are no longer suitable. | 1.3This recommendation is not intended to affect treatment with patiromer that was started in the NHS before this guidance was published. People having treatment outside this recommendation may continue without change to the funding arrangements in place for them before this guidance was published, until they and their NHS clinician consider it appropriate to stop.",Conditional
Sotagliflozin with insulin for treating type 1 diabetes,"1.1Sotagliflozin with insulin is recommended as an option for treating type 1 diabetes in adults with a body mass index (BMI) of at least 27 kg/m2, when insulin alone does not provide adequate glycaemic control despite optimal insulin therapy, only if: | 1.2Stop sotagliflozin if there has not been a sustained improvement in glycaemic control (that is, a fall in HbA1c level of about 0.3% or 3 mmol/mol). | 1.3These recommendations are not intended to affect treatment with sotagliflozin that was started in the NHS before this guidance was published. People having treatment outside these recommendations may continue without change to the funding arrangements in place for them before this guidance was published, until they and their NHS clinician consider it appropriate to stop.",Conditional
Atezolizumab with carboplatin and nab-paclitaxel for untreated advanced non-squamous non-small-cell lung cancer (terminated appraisal),Recommendation Not Found,Rejected
Lusutrombopag for treating thrombocytopenia in people with chronic liver disease needing a planned invasive procedure,"1.1Lusutrombopag is recommended, within its marketing authorisation, as an option for treating severe thrombocytopenia (that is, a platelet count of below 50,000platelets per microlitre of blood) in adults with chronic liver disease having planned invasive procedures.",Approved
Cannabidiol with clobazam for treating seizures associated with Dravet syndrome,"1.1Cannabidiol with clobazam is recommended as an option for treating seizures associated with Dravet syndrome in people aged 2 years and older, only if: | 1.2This recommendation is not intended to affect treatment with cannabidiol, with clobazam, that was started in the NHS before this guidance was published. People having treatment outside this recommendation may continue without change to the funding arrangements in place before this guidance was published, until they and their NHS clinicians consider it appropriate to stop. For children and young people, this decision should be made jointly by the clinician and the child or young person, or the child or young person's parents or carers.",Conditional
Cannabidiol with clobazam for treating seizures associated with Lennox–Gastaut syndrome,"1.1Cannabidiol with clobazam is recommended as an option for treating seizures associated with Lennox–Gastaut syndrome in people aged 2 years and older, only if: | 1.2This recommendation is not intended to affect treatment with cannabidiol, with clobazam, that was started in the NHS before this guidance was published. People having treatment outside this recommendation may continue without change to the funding arrangements in place before this guidance was published, until they and their NHS clinicians consider it appropriate to stop. For children and young people, this decision should be made jointly by the clinician and the child or young person, or the child or young person's parents or carers.",Conditional
"Neratinib for extended adjuvant treatment of hormone receptor-positive, HER2-positive early stage breast cancer after adjuvant trastuzumab","1.1Neratinib is recommended as an option for the extended adjuvant treatment of hormone receptor-positive, human epidermal growth factor receptor 2 (HER2)‑positive early stage breast cancer in adults who completed adjuvant trastuzumab-based therapy less than 1 year ago only if: | 1.2This recommendation is not intended to affect treatment with neratinib that was started in the NHS before this guidance was published. People having treatment outside this recommendation may continue without change to the funding arrangements in place for them before this guidance was published, until they and their NHS clinician consider it appropriate to stop.",Conditional
Pentosan polysulfate sodium for treating bladder pain syndrome,"1.1Pentosan polysulfate sodium is recommended as an option for treating bladder pain syndrome with glomerulations or Hunner's lesions in adults with urinary urgency and frequency, and moderate to severe pain, only if: | 1.2This recommendation is not intended to affect treatment with pentosan polysulfate sodium that was started in the NHS before this guidance was published. People having treatment outside this recommendation may continue without change to the funding arrangements in place for them before this guidance was published, until they and their NHS clinician consider it appropriate to stop.",Conditional
Ibrutinib with rituximab for treating Waldenstrom’s macroglobulinaemia (terminated appraisal),Recommendation Not Found,Rejected
Ramucirumab for treating unresectable hepatocellular carcinoma after sorafenib (terminated appraisal),Recommendation Not Found,Rejected
Rivaroxaban for preventing atherothrombotic events in people with coronary or peripheral artery disease,"1.1Rivaroxaban plus aspirin is recommended within its marketing authorisation, as an option for preventing atherothrombotic events in adults with coronary artery disease or symptomatic peripheral artery disease who are at high risk of ischaemic events. | 1.2For people with coronary artery disease, high risk of ischaemic events is defined as: | 1.3Assess the person's risk of bleeding before considering rivaroxaban. Treatment should only be started after an informed discussion with them about the risks and benefits of rivaroxaban, weighing up the risk of atherothrombotic events against the risk of bleeding. The risks and benefits of continuing treatment with rivaroxaban should be regularly reviewed.",Approved
Lanadelumab for preventing recurrent attacks of hereditary angioedema,"1.1Lanadelumab is recommended as an option for preventing recurrent attacks of hereditary angioedema in people aged 12 and older, only if: | 1.2This recommendation is not intended to affect treatment with lanadelumab that was started in the NHS before this guidance was published. People having treatment outside this recommendation may continue without change to the funding arrangements in place for them before this guidance was published, until they and their NHS clinician consider it appropriate to stop. For young people, this decision should be made jointly by the clinician and the young person or the young person's parents or carers.",Conditional
Xeomin (botulinum neurotoxin type A) for treating chronic sialorrhoea,"1.1Xeomin (botulinum neurotoxin type A) is recommended, within its marketing authorisation, as an option for treating chronic sialorrhoea caused by neurological conditions in adults. It is recommended only if the company provides it according to thecommercial arrangement.",Conditional
Idelalisib for treating refractory follicular lymphoma,"1.1Idelalisib is not recommended, within its marketing authorisation, for treating follicular lymphoma that has not responded to 2 prior lines of treatment in adults. | 1.2This recommendation is not intended to affect treatment with idelalisib that was started in the NHS before this guidance was published. People having treatment outside this recommendation may continue without change to the funding arrangements in place for them before this guidance was published, until they and their NHS clinician consider it appropriate to stop.",Rejected
Lenalidomide with bortezomib and dexamethasone for untreated multiple myeloma (terminated appraisal),Recommendation Not Found,Rejected
Pomalidomide with bortezomib and dexamethasone for treating relapsed or refractory multiple myeloma (terminated appraisal),Recommendation Not Found,Rejected
Benralizumab for treating severe eosinophilic asthma,"1.1Benralizumab, as an add-on therapy, is recommended as an option for treating severe eosinophilic asthma that is inadequately controlled in adults despite maintenance therapy with high-dose inhaled corticosteroids and long-acting beta-agonists, only if: | 1.2If benralizumab, mepolizumab or reslizumab are equally suitable, start treatment with the least expensive option (taking into account drug and administration costs). | 1.3At 12 months: | 1.4These recommendations are not intended to affect treatment with benralizumab that was started in the NHS before this guidance was published. People having treatment outside these recommendations may continue without change to the funding arrangements in place for them before this guidance was published, until they and their NHS clinician consider it appropriate to stop.",Conditional
Risankizumab for treating moderate to severe plaque psoriasis,"1.1Risankizumab is recommended as an option for treating plaque psoriasis in adults, only if: | 1.2Stop risankizumab treatment at 16 weeks if the psoriasis has not responded adequately. An adequate response is defined as: | 1.3If patients and their clinicians consider risankizumab to be one of a range of suitable treatments, including guselkumab, secukinumab and ixekizumab, the least expensive should be chosen (taking into account administration costs, dosage, price per dose and commercial arrangements). | 1.4When using the PASI, healthcare professionals should take into account skin colour and how this could affect the PASI score, and make the clinical adjustments they consider appropriate. | 1.5When using the DLQI, healthcare professionals should take into account any physical, psychological, sensory or learning disabilities, or communication difficulties that could affect the responses to the DLQI and make any adjustments they consider appropriate. | 1.6These recommendations are not intended to affect treatment with risankizumab that was started in the NHS before this guidance was published. People having treatment outside these recommendations may continue without change to the funding arrangements in place for them before this guidance was published, until they and their NHS clinician consider it appropriate to stop.",Conditional
Brentuximab vedotin for untreated advanced Hodgkin lymphoma (terminated appraisal),Recommendation Not Found,Rejected
Dacomitinib for untreated EGFR mutation-positive non-small-cell lung cancer,"1.1Dacomitinib is recommended, within its marketing authorisation, as an option for untreated locally advanced or metastatic epidermal growth factor receptor (EGFR) mutation-positive non-small-cell lung cancer (NSCLC) in adults. It is recommended only if the company provides it according to thecommercial arrangement.",Conditional
Fluocinolone acetonide intravitreal implant for treating recurrent non-infectious uveitis,"1.1Fluocinolone acetonide intravitreal implant is recommended, within its marketing authorisation, as an option forpreventing relapse in recurrent non-infectious uveitis affecting the posterior segment of the eye. It is recommended only if the company provides it according to thecommercial arrangement.",Conditional
Letermovir for preventing cytomegalovirus disease after a stem cell transplant,"1.1Letermovir is recommended, within its marketing authorisation, as an option for preventing cytomegalovirus (CMV) reactivation and disease after an allogeneic haematopoietic stem cell transplant (HSCT) in adults who are seropositive for CMV. It is recommended only if the company provides it according to thecommercial arrangement.",Conditional
Nusinersen for treating spinal muscular atrophy,1.1Nusinersen is recommended as an option for treating 5q spinal muscular atrophy (SMA) only if:,Conditional
Blinatumomab for treating acute lymphoblastic leukaemia in remission with minimal residual disease activity,"1.1Blinatumomab is recommended as an option for treating Philadelphia-chromosome-negative CD19‑positive B‑precursor acute lymphoblastic leukaemia in adults with minimal residual disease (MRD) of at least 0.1%, only if: | 1.2This recommendation is not intended to affect treatment with blinatumomab that was started in the NHS before this guidance was published. People having treatment outside this recommendation may continue without change to the funding arrangements in place for them before this guidance was published, until they and their NHS clinician consider it appropriate to stop.",Conditional
Bisphosphonates for treating osteoporosis,"1.1Oral bisphosphonates (alendronic acid, ibandronic acid and risedronate sodium) and intravenous bisphosphonates (ibandronic acid and zoledronic acid) are recommended, within their marketing authorisations, as options for treating osteoporosis in adults: | 1.2The choice of treatment should be made on an individual basis after discussion between the responsible clinician and the patient, or their carers, about the advantages and disadvantages of the treatments available. If generic products are available, start treatment with the least expensive formulation, taking into account administration costs, the dose needed and the cost per dose. | 1.3These recommendations are not intended to affect treatment with alendronic acid, ibandronic acid, risedronate sodium and zoledronic acid that was started in the NHS before this guidance was published. Adults having treatment outside these recommendations may continue without change to the funding arrangements in place for them before this guidance was published, until they and their NHS clinician consider it appropriate to stop.",Rejected
Lenalidomide for treating myelodysplastic syndromes associated with an isolated deletion 5q cytogenetic abnormality,"1.1Lenalidomide is recommended as an option, within its marketing authorisation, that is for treating transfusion‑dependent anaemia caused by low or intermediate‑1 risk myelodysplastic syndromes associated with an isolated deletion 5q cytogenetic abnormality when other therapeutic options are insufficient or inadequate. It is recommended only if the company provides it according to thecommercial arrangement.",Conditional
Lenalidomide for the treatment of multiple myeloma in people who have received at least 2 prior therapies,"Lenalidomide in combination with dexamethasone is recommended, within its licensed indication, as an option for the treatment of multiple myeloma only in people who have received 2 or more prior therapies. It is recommended only if the company provides lenalidomide according to thecommercial arrangement. | People currently receiving lenalidomide for the treatment of multiple myeloma, but who have not received 2 or more prior therapies, should have the option to continue therapy until they and their clinicians consider it appropriate to stop.",Conditional
Lenalidomide plus dexamethasone for multiple myeloma after 1 treatment with bortezomib,"1.1Lenalidomide plus dexamethasone is recommended as an option for treating multiple myeloma in adults only if: | 1.2This recommendation is not intended to affect treatment with lenalidomide that was started in the NHS before this guidance was published. People having treatment outside this recommendation may continue without change to the funding arrangements in place for them before this guidance was published, until they and their NHS clinician consider it appropriate to stop.",Conditional
Lenalidomide plus dexamethasone for previously untreated multiple myeloma,"1.1Lenalidomide plus dexamethasone is recommended as an option for previously untreated multiple myeloma in adults who are not eligible for a stem cell transplant, only if: | 1.2This recommendation is not intended to affect treatment with lenalidomide that was started in the NHS before this guidance was published. People having treatment outside this recommendation may continue without change to the funding arrangements in place for them before this guidance was published, until they and their NHS clinician consider it appropriate to stop.",Conditional
Ocrelizumab for treating primary progressive multiple sclerosis,"1.1Ocrelizumab is recommended, within its marketing authorisation, as an option for treating early primary progressive multiple sclerosiswith imaging features characteristic of inflammatory activity in adults. It is recommended only if the company provides it according to thecommercial arrangement.",Conditional
Ertugliflozin with metformin and a dipeptidyl peptidase-4 inhibitor for treating type 2 diabetes,"1.1Ertugliflozin with metformin and a dipeptidyl peptidase‑4 (DPP‑4) inhibitor is recommended as an option for treating type 2 diabetes in adults when diet and exercise alone do not provide adequate glycaemic control, only if: | 1.2If patients and their clinicians consider ertugliflozin to be 1 of a range of suitable treatments, including canagliflozin, dapagliflozin and empagliflozin, the least expensive should be chosen. | 1.3These recommendations are not intended to affect treatment with ertugliflozin that was started in the NHS before this guidance was published. People having treatment outside these recommendations may continue without change to the funding arrangements in place for them before this guidance was published, until they and their NHS clinician consider it appropriate to stop.",Conditional
Atezolizumab in combination for treating metastatic non-squamous non-small-cell lung cancer,"1.1Atezolizumab plusbevacizumab, carboplatin and paclitaxel is recommended as an option for metastatic non-squamous non-small-cell lung cancer (NSCLC) in adults: | 1.2This recommendation is not intended to affect treatment with atezolizumab plus bevacizumab, carboplatin and paclitaxel that was started in the NHS before this guidance was published. People having treatment outside this recommendation may continue without change to the funding arrangements in place for them before this guidance was published, until they and their NHS clinician consider it appropriate to stop.",Approved
Enzalutamide for hormone-relapsed non-metastatic prostate cancer,"1.1Enzalutamide is not recommended, within its marketing authorisation, for treating high-risk hormone-relapsed non-metastatic prostate cancer in adults. | 1.2This recommendation is not intended to affect treatment with enzalutamide that was started in the NHS before this guidance was published. People having treatment outside this recommendation may continue without change to the funding arrangements in place for them before this guidance was published, until they and their NHS clinician consider it appropriate to stop.",Rejected
Brentuximab vedotin for treating CD30-positive cutaneous T-cell lymphoma,"1.1Brentuximab vedotin is recommended as an option for treating CD30‑positive cutaneous T‑cell lymphoma (CTCL) after at least 1 systemic therapy in adults, only if: | 1.2These recommendations are not intended to affect treatment with brentuximab vedotin that was started in the NHS before this guidance was published. People having treatment outside these recommendations may continue without change to the funding arrangements in place for them before this guidance was published, until they and their NHS clinician consider it appropriate to stop.",Conditional
