Title,Decision,Decision_Date,PDF File,Application Date,Disease_Category,HT_Category
Dupilumab for treating chronic rhinosinusitis with nasal polyps (terminated appraisal),Rejected,2020-09-09,Dupilumab_for_treating_chronic_rhinosinusitis_with_nasal_polyps_(terminated_appraisal).pdf,,Chronic,Drug
Glasdegib with chemotherapy for untreated acute myeloid leukaemia (terminated appraisal),Rejected,2020-09-02,Glasdegib_with_chemotherapy_for_untreated_acute_myeloid_leukaemia_(terminated_appraisal).pdf,,Cancer,Drug
Eculizumab for treating relapsing neuromyelitis optica (terminated appraisal),Rejected,2020-09-02,Eculizumab_for_treating_relapsing_neuromyelitis_optica_(terminated_appraisal).pdf,,"Nervous System, Rare Disease (Orphan Drugs)",Drug
Avelumab with axitinib for untreated advanced renal cell carcinoma,Conditional,2020-09-02,Avelumab_with_axitinib_for_untreated_advanced_renal_cell_carcinoma.pdf,2019-07,Cancer,Drug
Brentuximab vedotin in combination for untreated systemic anaplastic large cell lymphoma,Approved,2020-08-12,Brentuximab_vedotin_in_combination_for_untreated_systemic_anaplastic_large_cell_lymphoma.pdf,2019-12,Cancer,Drug
Gilteritinib for treating relapsed or refractory acute myeloid leukaemia,Conditional,2020-08-12,Gilteritinib_for_treating_relapsed_or_refractory_acute_myeloid_leukaemia.pdf,2019-06,Cancer,Drug
Entrectinib for treating ROS1-positive advanced non-small-cell lung cancer,Conditional,2020-08-12,Entrectinib_for_treating_ROS1-positive_advanced_non-small-cell_lung_cancer.pdf,2019-06,Cancer,Drug
Entrectinib for treating NTRK fusion-positive solid tumours,Approved,2020-08-12,Entrectinib_for_treating_NTRK_fusion-positive_solid_tumours.pdf,2019-05,"Cancer, Rare Disease (Orphan Drugs)",Drug
Treosulfan with fludarabine for malignant disease before allogeneic stem cell transplant,Approved,2020-08-05,Treosulfan_with_fludarabine_for_malignant_disease_before_allogeneic_stem_cell_transplant.pdf,2019-05,Cancer,Drug
Atezolizumab with carboplatin and etoposide for untreated extensive-stage small-cell lung cancer,Conditional,2020-07-01,Atezolizumab_with_carboplatin_and_etoposide_for_untreated_extensive-stage_small-cell_lung_cancer.pdf,2019-02,Cancer,Drug
"Atezolizumab with nab-paclitaxel for untreated PD-L1-positive, locally advanced or metastatic, triple-negative breast cancer",Conditional,2020-07-01,"Atezolizumab_with_nab-paclitaxel_for_untreated_PD-L1-positive,_locally_advanced_or_metastatic,_triple-negative_breast_cancer.pdf",2019-03,Cancer,Drug
Daratumumab with lenalidomide and dexamethasone for untreated multiple myeloma (terminated appraisal),Rejected,2020-06-30,Daratumumab_with_lenalidomide_and_dexamethasone_for_untreated_multiple_myeloma_(terminated_appraisal).pdf,,Cancer,Drug
Ramucirumab with erlotinib for untreated EGFR-positive metastatic non-small-cell lung cancer (terminated appraisal),Rejected,2020-06-30,Ramucirumab_with_erlotinib_for_untreated_EGFR-positive_metastatic_non-small-cell_lung_cancer_(terminated_appraisal).pdf,,Cancer,Drug
Eculizumab for treating refractory myasthenia gravis (terminated appraisal),Rejected,2020-06-30,Eculizumab_for_treating_refractory_myasthenia_gravis_(terminated_appraisal).pdf,,"Nervous System, Rare Disease (Orphan Drugs)",Drug
Ranibizumab for treating diabetic retinopathy (terminated appraisal),Rejected,2020-06-30,Ranibizumab_for_treating_diabetic_retinopathy_(terminated_appraisal).pdf,,Chronic,Drug
Avatrombopag for treating thrombocytopenia in people with chronic liver disease needing a planned invasive procedure,Approved,2020-06-24,Avatrombopag_for_treating_thrombocytopenia_in_people_with_chronic_liver_disease_needing_a_planned_invasive_procedure.pdf,,Chronic,Drug
Ustekinumab for treating moderately to severely active ulcerative colitis,Conditional,2020-06-17,Ustekinumab_for_treating_moderately_to_severely_active_ulcerative_colitis.pdf,,Chronic,Drug
Trastuzumab emtansine for adjuvant treatment of HER2-positive early breast cancer,Conditional,2020-06-10,Trastuzumab_emtansine_for_adjuvant_treatment_of_HER2-positive_early_breast_cancer.pdf,2019-09,Cancer,Drug
Larotrectinib for treating NTRK fusion-positive solid tumours,Approved,2020-05-27,Larotrectinib_for_treating_NTRK_fusion-positive_solid_tumours.pdf,,"Cancer, Rare Disease (Orphan Drugs)",Drug
Lorlatinib for previously treated ALK-positive advanced non-small-cell lung cancer,Approved,2020-05-13,Lorlatinib_for_previously_treated_ALK-positive_advanced_non-small-cell_lung_cancer.pdf,2019-07,Cancer,Drug
Obinutuzumab with bendamustine for treating follicular lymphoma after rituximab,Conditional,2020-05-13,Obinutuzumab_with_bendamustine_for_treating_follicular_lymphoma_after_rituximab.pdf,2019-11,Cancer,Drug
Lenalidomide with rituximab for previously treated follicular lymphoma,Approved,2020-04-07,Lenalidomide_with_rituximab_for_previously_treated_follicular_lymphoma.pdf,,Cancer,Drug
Recombinant human parathyroid hormone for treating hypoparathyroidism (terminated appraisal),Rejected,2020-03-04,Recombinant_human_parathyroid_hormone_for_treating_hypoparathyroidism_(terminated_appraisal).pdf,,Rare Disease (Orphan Drugs),Drug
Peginterferon beta-1a for treating relapsing–remitting multiple sclerosis,Approved,2020-02-19,Peginterferon_beta-1a_for_treating_relapsing–remitting_multiple_sclerosis.pdf,2019-06,Nervous System,Drug
Patiromer for treating hyperkalaemia,Conditional,2020-02-13,Patiromer_for_treating_hyperkalaemia.pdf,2018-09,Cardiovascular,Drug
Sotagliflozin with insulin for treating type 1 diabetes,Conditional,2020-02-12,Sotagliflozin_with_insulin_for_treating_type_1_diabetes.pdf,2019-02,Chronic,Drug
Atezolizumab with carboplatin and nab-paclitaxel for untreated advanced non-squamous non-small-cell lung cancer (terminated appraisal),Rejected,2020-01-15,Atezolizumab_with_carboplatin_and_nab-paclitaxel_for_untreated_advanced_non-squamous_non-small-cell_lung_cancer_(terminated_appraisal).pdf,,Cancer,Drug
Lusutrombopag for treating thrombocytopenia in people with chronic liver disease needing a planned invasive procedure,Approved,2020-01-08,Lusutrombopag_for_treating_thrombocytopenia_in_people_with_chronic_liver_disease_needing_a_planned_invasive_procedure.pdf,2019-04,Chronic,Drug
Cannabidiol with clobazam for treating seizures associated with Dravet syndrome,Conditional,2019-12-18,Cannabidiol_with_clobazam_for_treating_seizures_associated_with_Dravet_syndrome.pdf,2019-04,"Nervous System, Rare Disease (Orphan Drugs)",Drug
Cannabidiol with clobazam for treating seizures associated with Lennox–Gastaut syndrome,Conditional,2019-12-18,Cannabidiol_with_clobazam_for_treating_seizures_associated_with_Lennox–Gastaut_syndrome.pdf,2019-05,"Chronic, Nervous System, Rare Disease (Orphan Drugs)",Drug
"Neratinib for extended adjuvant treatment of hormone receptor-positive, HER2-positive early stage breast cancer after adjuvant trastuzumab",Conditional,2019-11-20,"Neratinib_for_extended_adjuvant_treatment_of_hormone_receptor-positive,_HER2-positive_early_stage_breast_cancer_after_adjuvant_trastuzumab.pdf",,Cancer,Drug
Pentosan polysulfate sodium for treating bladder pain syndrome,Conditional,2019-11-13,Pentosan_polysulfate_sodium_for_treating_bladder_pain_syndrome.pdf,,Urinary-Track Diseases,Drug
Ibrutinib with rituximab for treating Waldenstrom’s macroglobulinaemia (terminated appraisal),Rejected,2019-10-30,Ibrutinib_with_rituximab_for_treating_Waldenstrom’s_macroglobulinaemia_(terminated_appraisal).pdf,,"Cancer, Rare Disease (Orphan Drugs)",Drug
Ramucirumab for treating unresectable hepatocellular carcinoma after sorafenib (terminated appraisal),Rejected,2019-10-30,Ramucirumab_for_treating_unresectable_hepatocellular_carcinoma_after_sorafenib_(terminated_appraisal).pdf,,Cancer,Drug
Rivaroxaban for preventing atherothrombotic events in people with coronary or peripheral artery disease,Approved,2019-10-17,Rivaroxaban_for_preventing_atherothrombotic_events_in_people_with_coronary_or_peripheral_artery_disease.pdf,2018-12,Cardiovascular,Drug
Lanadelumab for preventing recurrent attacks of hereditary angioedema,Conditional,2019-10-16,Lanadelumab_for_preventing_recurrent_attacks_of_hereditary_angioedema.pdf,,Rare Disease (Orphan Drugs),Drug
Xeomin (botulinum neurotoxin type A) for treating chronic sialorrhoea,Conditional,2019-10-09,Xeomin_(botulinum_neurotoxin_type_A)_for_treating_chronic_sialorrhoea.pdf,2019-02,"Chronic, Nervous System",Drug
Idelalisib for treating refractory follicular lymphoma,Rejected,2019-10-02,Idelalisib_for_treating_refractory_follicular_lymphoma.pdf,2018-06,Cancer,Drug
Lenalidomide with bortezomib and dexamethasone for untreated multiple myeloma (terminated appraisal),Rejected,2019-09-25,Lenalidomide_with_bortezomib_and_dexamethasone_for_untreated_multiple_myeloma_(terminated_appraisal).pdf,,Cancer,Drug
Pomalidomide with bortezomib and dexamethasone for treating relapsed or refractory multiple myeloma (terminated appraisal),Rejected,2019-09-25,Pomalidomide_with_bortezomib_and_dexamethasone_for_treating_relapsed_or_refractory_multiple_myeloma_(terminated_appraisal).pdf,,Cancer,Drug
Benralizumab for treating severe eosinophilic asthma,Conditional,2019-03-06,Benralizumab_for_treating_severe_eosinophilic_asthma.pdf,2018-01,Chronic,Drug
Risankizumab for treating moderate to severe plaque psoriasis,Conditional,2019-08-21,Risankizumab_for_treating_moderate_to_severe_plaque_psoriasis.pdf,2018-12,Chronic,Drug
Brentuximab vedotin for untreated advanced Hodgkin lymphoma (terminated appraisal),Rejected,2019-08-14,Brentuximab_vedotin_for_untreated_advanced_Hodgkin_lymphoma_(terminated_appraisal).pdf,,Cancer,Drug
Dacomitinib for untreated EGFR mutation-positive non-small-cell lung cancer,Conditional,2019-08-14,Dacomitinib_for_untreated_EGFR_mutation-positive_non-small-cell_lung_cancer.pdf,,Cancer,Drug
Fluocinolone acetonide intravitreal implant for treating recurrent non-infectious uveitis,Conditional,2019-07-31,Fluocinolone_acetonide_intravitreal_implant_for_treating_recurrent_non-infectious_uveitis.pdf,2018-11,Chronic,Medical Device
Letermovir for preventing cytomegalovirus disease after a stem cell transplant,Conditional,2019-07-31,Letermovir_for_preventing_cytomegalovirus_disease_after_a_stem_cell_transplant.pdf,2018-03,Rare Disease (Orphan Drugs),Drug
Nusinersen for treating spinal muscular atrophy,Conditional,2019-07-24,Nusinersen_for_treating_spinal_muscular_atrophy.pdf,2018-03,"Nervous System, Rare Disease (Orphan Drugs)",Drug
Blinatumomab for treating acute lymphoblastic leukaemia in remission with minimal residual disease activity,Conditional,2019-07-24,Blinatumomab_for_treating_acute_lymphoblastic_leukaemia_in_remission_with_minimal_residual_disease_activity.pdf,,Cancer,Drug
Bisphosphonates for treating osteoporosis,Rejected,2017-08-09,Bisphosphonates_for_treating_osteoporosis.pdf,,Musculoskeletal diseases,Drug
Lenalidomide for treating myelodysplastic syndromes associated with an isolated deletion 5q cytogenetic abnormality,Conditional,2014-09-24,Lenalidomide_for_treating_myelodysplastic_syndromes_associated_with_an_isolated_deletion_5q_cytogenetic_abnormality.pdf,,"Chronic, Cancer",Drug
Lenalidomide for the treatment of multiple myeloma in people who have received at least 2 prior therapies,Conditional,2009-06-18,Lenalidomide_for_the_treatment_of_multiple_myeloma_in_people_who_have_received_at_least_2_prior_therapies.pdf,,Cancer,Drug
Lenalidomide plus dexamethasone for multiple myeloma after 1 treatment with bortezomib,Conditional,2019-06-26,Lenalidomide_plus_dexamethasone_for_multiple_myeloma_after_1_treatment_with_bortezomib.pdf,,Cancer,Drug
Lenalidomide plus dexamethasone for previously untreated multiple myeloma,Conditional,2019-06-26,Lenalidomide_plus_dexamethasone_for_previously_untreated_multiple_myeloma.pdf,2017-10,Cancer,Drug
Ocrelizumab for treating primary progressive multiple sclerosis,Conditional,2019-06-12,Ocrelizumab_for_treating_primary_progressive_multiple_sclerosis.pdf,,Nervous System,Drug
Ertugliflozin with metformin and a dipeptidyl peptidase-4 inhibitor for treating type 2 diabetes,Conditional,2019-06-05,Ertugliflozin_with_metformin_and_a_dipeptidyl_peptidase-4_inhibitor_for_treating_type_2_diabetes.pdf,,Chronic,Drug
Atezolizumab in combination for treating metastatic non-squamous non-small-cell lung cancer,Approved,2019-06-05,Atezolizumab_in_combination_for_treating_metastatic_non-squamous_non-small-cell_lung_cancer.pdf,2018-09,Cancer,Drug
Enzalutamide for hormone-relapsed non-metastatic prostate cancer,Rejected,2019-05-15,Enzalutamide_for_hormone-relapsed_non-metastatic_prostate_cancer.pdf,2018-09,Cancer,Drug
Brentuximab vedotin for treating CD30-positive cutaneous T-cell lymphoma,Conditional,2019-04-24,Brentuximab_vedotin_for_treating_CD30-positive_cutaneous_T-cell_lymphoma.pdf,2018-06,Cancer,Drug
Certolizumab pegol for treating moderate to severe plaque psoriasis,Conditional,2019-04-17,Certolizumab_pegol_for_treating_moderate_to_severe_plaque_psoriasis.pdf,2018-08,Chronic,Drug
Bosutinib for untreated chronic myeloid leukaemia (terminated appraisal),Rejected,2019-04-17,Bosutinib_for_untreated_chronic_myeloid_leukaemia_(terminated_appraisal).pdf,,Cancer,Drug
Tildrakizumab for treating moderate to severe plaque psoriasis,Conditional,2019-04-17,Tildrakizumab_for_treating_moderate_to_severe_plaque_psoriasis.pdf,2018-08,Chronic,Drug
Ertugliflozin as monotherapy or with metformin for treating type 2 diabetes,Conditional,2019-03-27,Ertugliflozin_as_monotherapy_or_with_metformin_for_treating_type_2_diabetes.pdf,,Chronic,Drug
Brigatinib for treating ALK-positive advanced non-small-cell lung cancer after crizotinib,Conditional,2019-03-20,Brigatinib_for_treating_ALK-positive_advanced_non-small-cell_lung_cancer_after_crizotinib.pdf,,Cancer,Drug
Pembrolizumab for treating recurrent or metastatic squamous cell carcinoma of the head and neck after platinum-based chemotherapy (terminated appraisal),Rejected,2019-03-20,Pembrolizumab_for_treating_recurrent_or_metastatic_squamous_cell_carcinoma_of_the_head_and_neck_after_platinum-based_chemotherapy_(terminated_appraisal).pdf,,Cancer,Drug
Pertuzumab for adjuvant treatment of HER2-positive early stage breast cancer,Conditional,2019-03-20,Pertuzumab_for_adjuvant_treatment_of_HER2-positive_early_stage_breast_cancer.pdf,2018-02,Cancer,Drug
Abatacept for treating psoriatic arthritis after DMARDs (terminated appraisal),Rejected,2019-03-13,Abatacept_for_treating_psoriatic_arthritis_after_DMARDs_(terminated_appraisal).pdf,,Musculoskeletal diseases,Drug
Cochlear implants for children and adults with severe to profound deafness,Rejected,2019-03-07,Cochlear_implants_for_children_and_adults_with_severe_to_profound_deafness.pdf,,Nervous System,Medical Device
Venetoclax with rituximab for previously treated chronic lymphocytic leukaemia,Conditional,2019-02-27,Venetoclax_with_rituximab_for_previously_treated_chronic_lymphocytic_leukaemia.pdf,2018-06,"Chronic, Cancer",Drug
Encorafenib with binimetinib for unresectable or metastatic BRAF V600 mutation-positive melanoma,Conditional,2019-02-27,Encorafenib_with_binimetinib_for_unresectable_or_metastatic_BRAF_V600_mutation-positive_melanoma.pdf,2018-09,Cancer,Drug
"Abemaciclib with an aromatase inhibitor for previously untreated, hormone receptor-positive, HER2-negative, locally advanced or metastatic breast cancer",Conditional,2019-02-27,"Abemaciclib_with_an_aromatase_inhibitor_for_previously_untreated,_hormone_receptor-positive,_HER2-negative,_locally_advanced_or_metastatic_breast_cancer.pdf",2018-06,Cancer,Drug
"Bevacizumab with carboplatin, gemcitabine and paclitaxel for treating the first recurrence of platinum-sensitive advanced ovarian cancer (terminated appraisal)",Rejected,2019-02-20,"Bevacizumab_with_carboplatin,_gemcitabine_and_paclitaxel_for_treating_the_first_recurrence_of_platinum-sensitive_advanced_ovarian_cancer_(terminated_appraisal).pdf",,"Cancer, Obstetrics/Gynaecology",Drug
Regorafenib for previously treated advanced hepatocellular carcinoma,Conditional,2019-01-09,Regorafenib_for_previously_treated_advanced_hepatocellular_carcinoma.pdf,,Cancer,Drug
Darvadstrocel for treating complex perianal fistulas in Crohn’s disease,Rejected,2019-01-09,Darvadstrocel_for_treating_complex_perianal_fistulas_in_Crohn’s_disease.pdf,2018-04,Chronic,Drug
Lenvatinib for untreated advanced hepatocellular carcinoma,Conditional,2018-12-19,Lenvatinib_for_untreated_advanced_hepatocellular_carcinoma.pdf,2018-02,Cancer,Drug
Liposomal cytarabine–daunorubicin for untreated acute myeloid leukaemia,Conditional,2018-12-19,Liposomal_cytarabine–daunorubicin_for_untreated_acute_myeloid_leukaemia.pdf,2018-08,Cancer,Drug
Vandetanib for treating medullary thyroid cancer,Rejected,2018-12-12,Vandetanib_for_treating_medullary_thyroid_cancer.pdf,,"Cancer, Rare Disease (Orphan Drugs)",Drug
Decitabine for untreated acute myeloid leukaemia (terminated appraisal),Rejected,2018-12-05,Decitabine_for_untreated_acute_myeloid_leukaemia_(terminated_appraisal).pdf,,Cancer,Drug
Denosumab for preventing skeletal-related events in multiple myeloma (terminated appraisal),Rejected,2018-12-05,Denosumab_for_preventing_skeletal-related_events_in_multiple_myeloma_(terminated_appraisal).pdf,,Cancer,Drug
Tofacitinib for moderately to severely active ulcerative colitis,Conditional,2018-11-28,Tofacitinib_for_moderately_to_severely_active_ulcerative_colitis.pdf,2018-05,Chronic,Drug
Padeliporfin for untreated localised prostate cancer,Rejected,2018-11-21,Padeliporfin_for_untreated_localised_prostate_cancer.pdf,2018-02,Cancer,Drug
Gemtuzumab ozogamicin for untreated acute myeloid leukaemia,Conditional,2018-11-14,Gemtuzumab_ozogamicin_for_untreated_acute_myeloid_leukaemia.pdf,2017-12,Cancer,Drug
Eltrombopag for treating chronic immune thrombocytopenia,Conditional,2013-07-24,Eltrombopag_for_treating_chronic_immune_thrombocytopenia.pdf,,Chronic,Drug
Romiplostim for the treatment of chronic immune thrombocytopenia,Conditional,2011-04-27,Romiplostim_for_the_treatment_of_chronic_immune_thrombocytopenia.pdf,,"Chronic, Rare Disease (Orphan Drugs)",Drug
Dabrafenib with trametinib for adjuvant treatment of resected BRAF V600 mutation-positive melanoma,Conditional,2018-10-17,Dabrafenib_with_trametinib_for_adjuvant_treatment_of_resected_BRAF_V600_mutation-positive_melanoma.pdf,2018-04,Cancer,Drug
Tofacitinib for treating active psoriatic arthritis after inadequate response to DMARDs,Conditional,2018-10-03,Tofacitinib_for_treating_active_psoriatic_arthritis_after_inadequate_response_to_DMARDs.pdf,,"Chronic, Musculoskeletal diseases",Drug
Cabozantinib for untreated advanced renal cell carcinoma,Conditional,2018-10-03,Cabozantinib_for_untreated_advanced_renal_cell_carcinoma.pdf,2018-01,Cancer,Drug
Inotuzumab ozogamicin for treating relapsed or refractory B-cell acute lymphoblastic leukaemia,Conditional,2018-09-19,Inotuzumab_ozogamicin_for_treating_relapsed_or_refractory_B-cell_acute_lymphoblastic_leukaemia.pdf,,Cancer,Drug
Lutetium (177Lu) oxodotreotide for treating unresectable or metastatic neuroendocrine tumours,Conditional,2018-08-29,Lutetium_(177Lu)_oxodotreotide_for_treating_unresectable_or_metastatic_neuroendocrine_tumours.pdf,,"Cancer, Rare Disease (Orphan Drugs)",Drug
Dinutuximab beta for treating neuroblastoma,Conditional,2018-08-22,Dinutuximab_beta_for_treating_neuroblastoma.pdf,2017-06,"Cancer, Rare Disease (Orphan Drugs)",Drug
Lenvatinib and sorafenib for treating differentiated thyroid cancer after radioactive iodine,Conditional,2018-08-08,Lenvatinib_and_sorafenib_for_treating_differentiated_thyroid_cancer_after_radioactive_iodine.pdf,,Cancer,Drug
Alectinib for untreated ALK-positive advanced non-small-cell lung cancer,Conditional,2018-08-08,Alectinib_for_untreated_ALK-positive_advanced_non-small-cell_lung_cancer.pdf,2017-10,Cancer,Drug
Ixekizumab for treating active psoriatic arthritis after inadequate response to DMARDs,Conditional,2018-08-08,Ixekizumab_for_treating_active_psoriatic_arthritis_after_inadequate_response_to_DMARDs.pdf,,"Chronic, Musculoskeletal diseases",Drug
Dupilumab for treating moderate to severe atopic dermatitis,Conditional,2018-08-01,Dupilumab_for_treating_moderate_to_severe_atopic_dermatitis.pdf,2018-03,Chronic,Drug
Ocrelizumab for treating relapsing–remitting multiple sclerosis,Conditional,2018-07-25,Ocrelizumab_for_treating_relapsing–remitting_multiple_sclerosis.pdf,2017-11,Nervous System,Drug
Pembrolizumab for untreated PD-L1-positive metastatic non-small-cell lung cancer,Conditional,2018-07-18,Pembrolizumab_for_untreated_PD-L1-positive_metastatic_non-small-cell_lung_cancer.pdf,,Cancer,Drug
Nivolumab for treating locally advanced unresectable or metastatic urothelial cancer after platinum-containing chemotherapy,Rejected,2018-07-04,Nivolumab_for_treating_locally_advanced_unresectable_or_metastatic_urothelial_cancer_after_platinum-containing_chemotherapy.pdf,2017-06,"Cancer, Urinary-Track Diseases",Drug
Beta interferons and glatiramer acetate for treating multiple sclerosis,Rejected,2018-06-27,Beta_interferons_and_glatiramer_acetate_for_treating_multiple_sclerosis.pdf,,"Nervous System, Chronic",Drug
"Donepezil, galantamine, rivastigmine and memantine for the treatment of Alzheimer's disease",Approved,2011-03-23,"Donepezil,_galantamine,_rivastigmine_and_memantine_for_the_treatment_of_Alzheimer's_disease.pdf",,"Chronic, Nervous System",Drug
502 Bad Gateway,Rejected,2018-06-13,502_Bad_Gateway.pdf,2017-10,NULL,
Midostaurin for untreated acute myeloid leukaemia,Conditional,2018-06-13,Midostaurin_for_untreated_acute_myeloid_leukaemia.pdf,,Cancer,Drug
Brentuximab vedotin for treating CD30-positive Hodgkin lymphoma,Conditional,2018-06-13,Brentuximab_vedotin_for_treating_CD30-positive_Hodgkin_lymphoma.pdf,,Cancer,Drug
Atezolizumab for treating locally advanced or metastatic urothelial carcinoma after platinum-containing chemotherapy,Conditional,2018-06-13,Atezolizumab_for_treating_locally_advanced_or_metastatic_urothelial_carcinoma_after_platinum-containing_chemotherapy.pdf,,Cancer,Drug
Arsenic trioxide for treating acute promyelocytic leukaemia,Approved,2018-06-13,Arsenic_trioxide_for_treating_acute_promyelocytic_leukaemia.pdf,,"Cancer, Rare Disease (Orphan Drugs)",Drug
Atezolizumab for treating locally advanced or metastatic non-small-cell lung cancer after chemotherapy,Conditional,2018-05-16,Atezolizumab_for_treating_locally_advanced_or_metastatic_non-small-cell_lung_cancer_after_chemotherapy.pdf,2017-02,Cancer,Drug
Tocilizumab for treating giant cell arteritis,Conditional,2018-04-18,Tocilizumab_for_treating_giant_cell_arteritis.pdf,2017-08,Cardiovascular,Drug
Eribulin for treating locally advanced or metastatic breast cancer after 1 chemotherapy regimen,Rejected,2018-03-28,Eribulin_for_treating_locally_advanced_or_metastatic_breast_cancer_after_1_chemotherapy_regimen.pdf,2016-04,Cancer,Drug
Cabozantinib for treating medullary thyroid cancer,Conditional,2018-03-28,Cabozantinib_for_treating_medullary_thyroid_cancer.pdf,,"Cancer, Rare Disease (Orphan Drugs)",Drug
Brodalumab for treating moderate to severe plaque psoriasis,Conditional,2018-03-21,Brodalumab_for_treating_moderate_to_severe_plaque_psoriasis.pdf,2017-09,Chronic,Drug
Tivozanib for treating advanced renal cell carcinoma,Conditional,2018-03-21,Tivozanib_for_treating_advanced_renal_cell_carcinoma.pdf,2017-05,Cancer,Drug
Obinutuzumab for untreated advanced follicular lymphoma,Conditional,2018-03-21,Obinutuzumab_for_untreated_advanced_follicular_lymphoma.pdf,2017-05,Cancer,Drug
Autologous chondrocyte implantation using chondrosphere for treating symptomatic articular cartilage defects of the knee,Conditional,2018-03-07,Autologous_chondrocyte_implantation_using_chondrosphere_for_treating_symptomatic_articular_cartilage_defects_of_the_knee.pdf,2017-12,Musculoskeletal diseases,Other treatment
Pertuzumab with trastuzumab and docetaxel for treating HER2-positive breast cancer,Conditional,2018-03-07,Pertuzumab_with_trastuzumab_and_docetaxel_for_treating_HER2-positive_breast_cancer.pdf,,Cancer,Drug
Sofosbuvir–velpatasvir–voxilaprevir for treating chronic hepatitis C,Conditional,2018-02-21,Sofosbuvir–velpatasvir–voxilaprevir_for_treating_chronic_hepatitis_C.pdf,2017-08,Chronic,Drug
Raloxifene for the primary prevention of osteoporotic fragility fractures in postmenopausal women,Rejected,2008-10-27,Raloxifene_for_the_primary_prevention_of_osteoporotic_fragility_fractures_in_postmenopausal_women.pdf,,Musculoskeletal diseases,Drug
Raloxifene and teriparatide for the secondary prevention of osteoporotic fragility fractures in postmenopausal women,Approved,2008-10-27,Raloxifene_and_teriparatide_for_the_secondary_prevention_of_osteoporotic_fragility_fractures_in_postmenopausal_women.pdf,,Musculoskeletal diseases,Drug
Pirfenidone for treating idiopathic pulmonary fibrosis,Conditional,2018-02-06,Pirfenidone_for_treating_idiopathic_pulmonary_fibrosis.pdf,2016-02,Rare Disease (Orphan Drugs),Drug
Intrabeam radiotherapy system for adjuvant treatment of early breast cancer,Rejected,2018-01-31,Intrabeam_radiotherapy_system_for_adjuvant_treatment_of_early_breast_cancer.pdf,,Cancer,Medical Device
Ibrutinib for treating relapsed or refractory mantle cell lymphoma,Conditional,2018-01-31,Ibrutinib_for_treating_relapsed_or_refractory_mantle_cell_lymphoma.pdf,2016-04,Cancer,Drug
Fulvestrant for untreated locally advanced or metastatic oestrogen-receptor positive breast cancer,Rejected,2018-01-31,Fulvestrant_for_untreated_locally_advanced_or_metastatic_oestrogen-receptor_positive_breast_cancer.pdf,2017-03,Cancer,Drug
Lenvatinib with everolimus for previously treated advanced renal cell carcinoma,Conditional,2018-01-24,Lenvatinib_with_everolimus_for_previously_treated_advanced_renal_cell_carcinoma.pdf,2017-03,Cancer,Drug
Glecaprevir–pibrentasvir for treating chronic hepatitis C,Conditional,2018-01-24,Glecaprevir–pibrentasvir_for_treating_chronic_hepatitis_C.pdf,2017-07,Chronic,Drug
Ceritinib for untreated ALK-positive non-small-cell lung cancer,Conditional,2018-01-24,Ceritinib_for_untreated_ALK-positive_non-small-cell_lung_cancer.pdf,,Cancer,Drug
Golimumab for treating non-radiographic axial spondyloarthritis,Conditional,2018-01-10,Golimumab_for_treating_non-radiographic_axial_spondyloarthritis.pdf,,Musculoskeletal diseases,Drug
"Palbociclib with an aromatase inhibitor for previously untreated, hormone receptor-positive, HER2-negative, locally advanced or metastatic breast cancer",Conditional,2017-12-20,"Palbociclib_with_an_aromatase_inhibitor_for_previously_untreated,_hormone_receptor-positive,_HER2-negative,_locally_advanced_or_metastatic_breast_cancer.pdf",,Cancer,Drug
"Ribociclib with an aromatase inhibitor for previously untreated, hormone receptor-positive, HER2-negative, locally advanced or metastatic breast cancer",Conditional,2017-12-20,"Ribociclib_with_an_aromatase_inhibitor_for_previously_untreated,_hormone_receptor-positive,_HER2-negative,_locally_advanced_or_metastatic_breast_cancer.pdf",,Cancer,Drug
Naltrexone–bupropion for managing overweight and obesity,Rejected,2017-12-12,Naltrexone–bupropion_for_managing_overweight_and_obesity.pdf,,Chronic,Drug
Vismodegib for treating basal cell carcinoma,Rejected,2017-11-22,Vismodegib_for_treating_basal_cell_carcinoma.pdf,2017-03,Cancer,Drug
Trastuzumab emtansine for treating HER2-positive advanced breast cancer after trastuzumab and a taxane,Conditional,2017-07-19,Trastuzumab_emtansine_for_treating_HER2-positive_advanced_breast_cancer_after_trastuzumab_and_a_taxane.pdf,,Cancer,Drug
Regorafenib for previously treated unresectable or metastatic gastrointestinal stromal tumours,Conditional,2017-11-15,Regorafenib_for_previously_treated_unresectable_or_metastatic_gastrointestinal_stromal_tumours.pdf,,Cancer,Drug
Sarilumab for moderate to severe rheumatoid arthritis,Conditional,2017-11-01,Sarilumab_for_moderate_to_severe_rheumatoid_arthritis.pdf,2017-05,Musculoskeletal diseases,Drug
Aflibercept for treating choroidal neovascularisation,Conditional,2017-11-01,Aflibercept_for_treating_choroidal_neovascularisation.pdf,2017-05,Cancer,Drug
Tofacitinib for moderate to severe rheumatoid arthritis,Conditional,2017-10-11,Tofacitinib_for_moderate_to_severe_rheumatoid_arthritis.pdf,2011-04,Musculoskeletal diseases,Drug
Immunosuppressive therapy for kidney transplant in adults,Rejected,2017-10-11,Immunosuppressive_therapy_for_kidney_transplant_in_adults.pdf,,Urinary-Track Diseases,Drug
